Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer,Needed_Humidity,Crop,Days_to_Harvest
115,40,60,7,1000,35,DAP,55,Cotton,170
120,40,60,7,1000,35,DAP,55,Cotton,170
125,40,60,7,1000,35,DAP,55,Cotton,170
130,40,60,7,1000,35,DAP,55,Cotton,171
135,40,60,7,1000,35,DAP,55,Cotton,171
140,40,60,7,1000,35,DAP,55,Cotton,171
145,40,60,7,1000,35,DAP,55,Cotton,172
150,40,60,7,1000,35,DAP,55,Cotton,172
100,45,65,7.5,800,25,DAP,55,Cotton,169
105,45,65,7.5,800,25,DAP,55,Cotton,169
110,45,65,7.5,800,25,DAP,55,Cotton,168
115,45,65,7.5,800,25,DAP,55,Cotton,168
120,45,65,7.5,800,25,DAP,55,Cotton,168
125,45,65,7.5,800,25,DAP,55,Cotton,168
130,45,65,7.5,800,25,DAP,55,Cotton,168
135,45,65,7.5,800,25,DAP,55,Cotton,169
140,45,65,7.5,800,25,DAP,55,Cotton,169
145,45,65,7.5,800,25,DAP,55,Cotton,169
150,45,65,7.5,800,25,DAP,55,Cotton,170
100,50,70,6,900,30,DAP,55,Cotton,169
105,50,70,6,900,30,DAP,55,Cotton,169
110,50,70,6,900,30,DAP,55,Cotton,168
115,50,70,6,900,30,DAP,55,Cotton,168
120,50,70,6,900,30,DAP,55,Cotton,168
125,50,70,6,900,30,DAP,55,Cotton,168
130,50,70,6,900,30,DAP,55,Cotton,169
135,50,70,6,900,30,DAP,55,Cotton,169
140,50,70,6,900,30,DAP,55,Cotton,169
145,50,70,6,900,30,DAP,55,Cotton,169
150,50,70,6,900,30,DAP,55,Cotton,170
100,55,75,6.5,1000,35,DAP,55,Cotton,171
105,55,75,6.5,1000,35,DAP,55,Cotton,170
110,55,75,6.5,1000,35,DAP,55,Cotton,170
115,55,75,6.5,1000,35,DAP,55,Cotton,170
120,55,75,6.5,1000,35,DAP,55,Cotton,170
125,55,75,6.5,1000,35,DAP,55,Cotton,170
130,55,75,6.5,1000,35,DAP,55,Cotton,170
135,55,75,6.5,1000,35,DAP,55,Cotton,171
140,55,75,6.5,1000,35,DAP,55,Cotton,171
145,55,75,6.5,1000,35,DAP,55,Cotton,171
150,55,75,6.5,1000,35,DAP,55,Cotton,172
100,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
105,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
110,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
115,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
120,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
125,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
130,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
135,60,50,7,800,25,Magnesium Sulphate,55,Cotton,168
140,60,50,7,800,25,Magnesium Sulphate,55,Cotton,169
145,60,50,7,800,25,Magnesium Sulphate,55,Cotton,169
150,60,50,7,800,25,Magnesium Sulphate,55,Cotton,169
100,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,170
105,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,169
110,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,169
115,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,169
120,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,169
125,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,169
130,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,169
135,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,170
140,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,170
145,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,170
150,40,55,7.5,900,30,Magnesium Sulphate,55,Cotton,170
100,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
105,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
110,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
115,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
120,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
125,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
130,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
135,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,170
140,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,171
145,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,171
150,45,60,6,1000,35,Magnesium Sulphate,55,Cotton,171
100,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
105,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
110,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
115,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,167
120,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,167
125,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
130,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
135,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
140,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,168
145,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,169
150,50,65,6.5,800,25,Magnesium Sulphate,55,Cotton,169
100,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
105,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
110,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
115,55,70,7,900,30,Magnesium Sulphate,55,Cotton,167
120,55,70,7,900,30,Magnesium Sulphate,55,Cotton,167
125,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
130,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
135,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
140,55,70,7,900,30,Magnesium Sulphate,55,Cotton,168
145,55,70,7,900,30,Magnesium Sulphate,55,Cotton,169
150,55,70,7,900,30,Magnesium Sulphate,55,Cotton,169
100,60,75,7.5,1000,35,Magnesium Sulphate,55,Cotton,171
